"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","Бренд"
1701906,"Кастрюля «Лысьвенские эмали» Южанка для индукционных плит, 2 л",https://www.auchan.ru/product/kastryulya-tefal-elegance-red-dlya-indukcionnyh-plit-2-l,,62999,Лысьвенские Эмали
1758916,"Кастрюля «Лысьвенские эмали» Южанка для индукционных плит, 3 л",https://www.auchan.ru/product/kastryulya-tefal-elegance-red-dlya-indukcionnyh-plit-3-l,,80499,Лысьвенские Эмали
1758919,"Кастрюля «Лысьвенские эмали» Южанка для индукционных плит, 4,5 л",https://www.auchan.ru/product/kastryulya-tefal-elegance-red-dlya-indukcionnyh-plit-4-5-l,,89899,Лысьвенские Эмали
17855813,"Кастрюля «Нева Металл Посуда», 3 л",https://www.auchan.ru/product/kastryulya-lit-3l-so-st-kr-ind,,301699,Нева Металл Посуда
910149,"Кастрюля «СтальЭмаль» Совы эмалированная для индукционных плит цилиндрическая, 1,5 л",https://www.auchan.ru/product/kastryulya-sovy-emalirovannaya-dlya-indukcionnyh-plit-cilindricheskaya-1-5-l,,36399,Стальэмаль
1759178,"Кастрюля «СтальЭмаль» Сфера Цветочная эмалированная для индукционных плит, 2 л",https://www.auchan.ru/product/kastryulya-stalemal-sfera-cvetochnaya-emalirovannaya-dlya-indukcionnyh-plit-2-l,,75099,Стальэмаль
1759954,"Кастрюля «СтальЭмаль» Фрутта эмалированная для индукционных плит, 1,5 л",https://www.auchan.ru/product/kastryulya-stalemal-frutta-emalirovannaya-dlya-indukcionnyh-plit-1-5-l,,45799,Стальэмаль
906874,"Кастрюля «СтальЭмаль» Фрутта эмалированная для индукционных плит, 2,9 л",https://www.auchan.ru/product/kastryulya-stalemal-frutta-emalirovannaya-dlya-indukcionnyh-plit-2-9-l,,56499,Стальэмаль
906875,"Кастрюля «СтальЭмаль» Фрутта эмалированная для индукционных плит, 4,5 л",https://www.auchan.ru/product/kastryulya-stalemal-frutta-emalirovannaya-dlya-indukcionnyh-plit-4-5-l,,68199,Стальэмаль
1759206,"Кастрюля «СтальЭмаль» Цветочная эмалированная для индукционных плит, 5,5 л",https://www.auchan.ru/product/kastryulya-stalemal-cvetochnaya-emalirovannaya-dlya-indukcionnyh-plit-5-5-l,,103099,Стальэмаль
7926338,"Кастрюля «ТРАДИЦИЯ» Гранит с крышкой, 2 л",https://www.auchan.ru/product/kastryulya_apr_20l_steklkr,139995,268599,Традиция
18942425,"Кастрюля глубокая Metrot Queen of Kitchen со стеклянной крышкой, 5,4 л",https://www.auchan.ru/product/kastryulya-queen-of-kitchen-5-4l,179995,252198,Metrot
17897865,"Кастрюля эмалированная Hitt Лимонная мозаика с крышкой 18 см, 3 л",https://www.auchan.ru/product/kastryulya-krysh-emal-3l-limon,,152399,Hitt
987658,"Кастрюля-казан «Каждый день», 4,5 л",https://www.auchan.ru/product/kastryulya-kazan-kazhdyy-den-4-5-l,,128999,Каждый день
16747892,"Ковш  «Катюша» нержавеющая сталь 16х10см, 1,7 л",https://www.auchan.ru/product/kovsh-nerzh-vega-1-7l-b-kr-katyusha,,112199,Катюша
15185321,"Ковш Actuel Les fleurs эмалированный, 1,5 л",https://www.auchan.ru/product/mdd-kovsh-em-1-5l-s-kr-les-fleu,,69599,Actuel
15185318,"Ковш Actuel Provence эмалированный, 1,5 л",https://www.auchan.ru/product/mdd-kovsh-em-1-5l-s-kr-provence,,69699,Actuel
18620683,"Ковш Actuel из нержавеющей стали, 0,9 л",https://www.auchan.ru/product/act-kovsh-nzhs-0-9-l,,99999,Actuel
18620688,"Ковш Actuel из нержавеющей стали, 1,9 л",https://www.auchan.ru/product/act-kovsh-nzhs-1-9-l,,125999,Actuel
15185314,"Ковш Actuel эмалированный Овощи, 1,5 л",https://www.auchan.ru/product/mdd-kovsh-em-1-5l-s-kr-ovoshchi,,70199,Actuel
20029927,"Ковш Bergner Ion plus, 16 см",https://www.auchan.ru/product/kovsh-ion-plus-16sm,199000,249998,Bergner
1702128,"Ковш Gotoff La Sella нержавеющая сталь, 14 см",https://www.auchan.ru/product/kovsh-la-sella-nerzhaveyushchaya-stal-14-sm,,23299,Gotoff
20128662,"Ковш Hitt Baltic 1,2л из алюминия с силиконовой крышкой, 16 см",https://www.auchan.ru/product/kovsh-1-2l-s-a-p-16sm-s-silikon-kr,,175467,Hitt
20097235,"Ковш Polaris Graphit-16SP Графитовый, 1,6 л",https://www.auchan.ru/product/kovsh-grafitovyy-kov-al-1-6l,214900,394999,Polaris
16732791,"Ковш Rondell Poin с крышкой d 16 см, 1,4 л",https://www.auchan.ru/product/kovsh-s-kr-1-4l-16sm-point,,209996,Rondell
20142603,"Ковш Rondell с крышкой 16 см,  1,9 л",https://www.auchan.ru/product/kovsh-s-kr-1-9l-16sm-stern,,313799,Rondell
984867,"Ковш Scovo Lider, 31,5x18x11,5 см",https://www.auchan.ru/product/kovsh-scovo-lider-31-5x18x11-5-sm,,63699,SCOVO
7925379,"Ковш «Бытпласт» пластиковый, 1,3 л",https://www.auchan.ru/product/kovsh_13l_cveta_miks,,11599,Бытпласт
14956080,"Ковш «Каждый день» алюминиевый 1,3 л, D 16",https://www.auchan.ru/product/kd-kovsh-alyum-ap-p-1-3l-d16-b-k,,37999,Каждый день
987267,"Ковш «Каждый день» эмалированный для индукционных плит, 1 л",https://www.auchan.ru/product/kovsh-kazhdyy-den-emalirovannyy-dlya-indukcionnyh-plit-1-l,,19999,Каждый день
17418769,"Ковш «Катюша» Листья эмалированный без крышки, 1,5 л",https://www.auchan.ru/product/kovsh-em-1-5l-listya-katyusha,131900,176999,Катюша
12608592,"Ковш «Катюша» Марта, 1 л",https://www.auchan.ru/product/kovsh-nerzh-st-1-0l-marta-katyusha,,134199,Катюша
15095997,"Ковш «Катюша» Марта, 1,6 л",https://www.auchan.ru/product/kovsh-marta-nerzh-1-6l-katyusha,,163899,Катюша
17438341,"Ковш «Катюша» Сияние эмалированный без крышки, 1,5 л",https://www.auchan.ru/product/kovsh-em-1-5l-siyanie-kras-katyush,131900,176999,Катюша
16722255,"Ковш «Катюша» литой Комфорт без крышки шоколадный гранит 18 см, 1,5 л",https://www.auchan.ru/product/kovsh-1-5l-komfort-shok-katyusha,,218898,Катюша
15185633,"Ковш «Катюша» нержавеющая сталь Марта без крышки 18х10 см, 2,3 л",https://www.auchan.ru/product/kovsh-marta-2-3l-b-kr-katyusha,,185399,Катюша
907115,"Ковш с крышкой Hitt Flammkuchen стальной для индукционных плит, 1,9 л",https://www.auchan.ru/product/kovsh-s-kryshkoy-hitt-flammkuchen-stalnoy-dlya-indukcionnyh-plit-1-9-l,,175999,Hitt
1703061,"Ковш с крышкой Hitt Wow Uno стальной, 1,1 л",https://www.auchan.ru/product/kovsh-s-kryshkoy-wow-uno-stalnoy-1-1-l,,85699,Hitt
