"ID_на_сайте","Наименование","Ссылка","Промо_цена","Регулярная_цена","name"
603138095,"Чай черный Принцесса Нури Солнце цейлона листовой, 250г",https://online.metro-cc.ru/products/250g-chay-chernyy-printsessa-nuri-solntse-tseylona-listovoy,269,329,ПРИНЦЕССА НУРИ
313874890,"Чай Азерчай черный листовой, 200г",https://online.metro-cc.ru/products/200g-chay-azerchay-chyornyy-listovoy,,389,АЗЕРЧАЙ
506110,"Чай Greenfield Royal Earl Grey с бергамотом черный (2г x 20шт), 40г",https://online.metro-cc.ru/products/greenfield-chernyj-s-bergamotom-royal-earl-grey-v-sashe-20-piramidok,109,196,GREENFIELD
601354163,"Сокочай черный Befruitbe имбирь-апельсин-малина, 50г",https://online.metro-cc.ru/products/50g-sokochay-chernyy-befruitbe-imbirapelsinmalina,,254,BEFRUITBE
596351737,"Чайный напиток Herbarus Ассорти (1.8г х 24шт), 43г",https://online.metro-cc.ru/products/24shth18g-chaynyy-napitok-herbarus-assorti,189,289,HERBARUS
203489,"Чай Майский Корона Российской Империи черный крупнолистовой, 100г",https://online.metro-cc.ru/products/majskij-chernyj-korona-rossijskoj-imperii-100g,,119,МАЙСКИЙ
519720,"Чай Richard Royal Ceylon черный, 90г",https://online.metro-cc.ru/products/chernyj-richard-royal-ceylon-90g,119,189,RICHARD
550287461,"RIOBA Чай черный цветущий сад (2г x 25шт), 50г",https://online.metro-cc.ru/products/rioba-chay-chernyy-tsvetuschiy-sad-2g-x-25,,123,RIOBA
200116,"Чай Curtis Isabella Grape черный пирамидки (1.8г x 20шт), 36г",https://online.metro-cc.ru/products/chernyj-curtis-isabella-grape-piramidki-20x18g,79.9,119,CURTIS
594486,"Чай Basilur Китайский чай Молочный улун (1.5г х 100шт), 150г",https://online.metro-cc.ru/products/100x15g-chaj-basilur-kitajskij-molochnyj-ulun,,579,BASILUR
119278,"Чай Maitre de The Lux Noir черный листовой, 100г",https://online.metro-cc.ru/products/maitre-chernyj-lux-noir-100g,,389,MAITRE DE THE
538346,"Чай Green Panda Красный петух крупнолистовой, 100г",https://online.metro-cc.ru/products/zelenaya-panda-krasnyj-petuh-krupnyj-list-100-g,,189,GREEN PANDA
240996772,"Чай Майский черный сердце цейлона (1.7г x 100шт), 170г",https://online.metro-cc.ru/products/100x17g-chay-mayskiy-chernyy-serdtse-tseylona-paketirovannyy,189,235,МАЙСКИЙ
603139820,"Чай черный Принцесса Нури высокогорный гранулированный, 250г",https://online.metro-cc.ru/products/250g-chay-chernyy-printsessa-nuri-vysokogornyy-granulirovannyy,169,199,ПРИНЦЕССА НУРИ
127547,"RIOBA Чай черный Мятная свежесть (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-chernyj-myatnaya-svezhest-20x2g,,269,RIOBA
550287456,"RIOBA Напиток чайный ромашковый (1.2г x 25шт), 30г",https://online.metro-cc.ru/products/rioba-napitok-chaynyy-romashkovyy-12g-x-25,,104,RIOBA
614789,"Чай Алтайвита Хохот шамана травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-hohot-shamana,,176,АЛТАЙВИТА
538598,"Чай Green Panda Загадка Тибета черный пуэр крупнолистовой, 100г",https://online.metro-cc.ru/products/zelenaya-panda-zagadka-tibeta-chernyj-puer-100-g,,204,GREEN PANDA
614906,"Чай Алтайвита Витаминный коктейль травяной, 40г",https://online.metro-cc.ru/products/40g-altajvita-travyanoj-vitamin-koktejl,,176,АЛТАЙВИТА
514944,"RIOBA Чай зеленый c жасмином, 400г",https://online.metro-cc.ru/products/rioba-zelenyj-listovoj-c-zhasminom-400g,,519,RIOBA
